measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,1,Number,2015,66617.10527047407,77212.47330284558,54687.99512817299
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,2,Percent,2015,0.168784361779867,0.1934729666793971,0.1379701807846659
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,3,Rate,2015,191.55642530635,222.02323734878001,157.25445906708998
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,1,Number,2016,67890.02090244256,79326.61188147124,55178.214022581655
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,2,Percent,2016,0.1694294167254803,0.1955710596776405,0.1374754997874948
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,3,Rate,2016,192.52871761966,224.96164613940002,156.47941545896
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,1,Number,2017,68452.13268478114,79927.13249995056,55993.02009991316
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,2,Percent,2017,0.1685263904668176,0.1931521157027456,0.1369354968321531
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,3,Rate,2017,191.54888871807,223.65926098006003,156.68468396005
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,1,Number,2018,68141.49907398195,79223.94552862782,56516.35782752947
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,2,Percent,2018,0.1687875405476518,0.1940324721708116,0.1382023752406219
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,3,Rate,2018,188.25664219284,218.87446224649003,156.13950233217
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,1,Number,2019,66937.06155328038,78550.74337041804,55288.143560344426
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,2,Percent,2019,0.1669273298615251,0.1934842751281423,0.1375820355689884
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,3,Rate,2019,182.70241130755,214.40155708588,150.90708959718
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,1,Number,2020,66009.6737809469,77530.24191770307,54974.1012792212
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,2,Percent,2020,0.1443560194246586,0.1671985948972663,0.1193568542359585
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,3,Rate,2020,178.25094709452,209.36081423700003,148.45075058559001
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,1,Number,2021,74884.29319269284,89744.39525656386,60955.83266213768
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,2,Percent,2021,0.1453306535249881,0.1683607944540037,0.119591295235986
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,3,Rate,2021,200.33709435942,240.09215570052,163.07444297255
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,1,Number,2022,67516.50441908177,80472.50222518502,53898.2915161154
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,2,Percent,2022,0.1533196220273527,0.1790356797378839,0.1249821116991948
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,3,Rate,2022,178.97905115433,213.3240193076,142.87862141849
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,1,Number,2023,70036.53247912614,85494.27028148666,55107.53321939257
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,2,Percent,2023,0.1623338777621858,0.1931661815131767,0.1320464229076942
1,Deaths,4841,Andhra Pradesh,3,Both,37,20+ years,294,All causes,85,Air pollution,3,Rate,2023,183.97250629326,224.57701174864002,144.75689533934
